fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o
17,2,Acton,1,0,3.39519045,1,545,261,284,188,308,49,291,6,0,229,0,0,10,9,151,40,28,60,18,4,1,16,13,2,1,0,0,0,0,871,0,28,8,21,49,0,19,26,14,19,62,101,80,90,55,299
100,2,Acton,1,1,3.39519045,1,545,261,284,188,308,49,291,6,0,229,0,0,10,9,151,40,28,60,18,4,1,16,13,2,1,0,0,0,0,931,0,97,0,30,15,0,17,29,36,66,25,51,58,159,80,268
36,10,Arlington,1,0,66.83652562,1,88,44,44,14,66,8,83,3,0,0,0,0,0,2,23,10,8,3,2,0,0,16,10,6,0,0,0,0,0,995,26,66,34,78,44,11,46,37,49,33,44,151,119,134,41,82
108,10,Arlington,1,1,66.83652562,1,565,278,287,137,343,85,502,14,0,20,0,3,13,13,171,75,38,47,8,3,0,43,35,6,0,2,0,0,0,218,0,0,0,0,13,0,12,15,0,0,13,0,12,44,64,45
42,14,Ashland,1,0,85.06239652,1,74,33,41,8,62,4,51,0,0,15,0,0,1,7,18,11,4,2,0,1,0,21,17,3,1,0,0,0,0,1180,33,27,34,28,0,0,41,14,0,48,174,167,158,121,258,77
109,14,Ashland,1,1,85.06239652,1,572,270,302,157,378,37,480,19,0,30,0,5,26,12,165,57,54,40,9,2,3,37,22,11,4,0,0,0,0,1472,15,16,18,17,14,0,16,32,43,31,104,53,220,114,330,449
13,23,Bedford,1,0,0,1,875,425,450,216,548,111,681,21,10,117,0,0,22,24,257,119,55,66,12,2,3,91,78,12,0,0,1,0,0,1070,14,12,0,20,0,0,0,15,0,41,80,164,88,69,109,458
75,25,Bellingham,1,0,0,1,604,279,325,142,366,96,558,1,0,31,0,1,4,9,165,61,49,34,16,2,3,66,57,6,3,0,0,0,0,1085,24,14,14,28,0,0,31,48,0,41,104,173,55,153,243,157
71,26,Belmont,1,0,75.01661803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,20,42,14,16,37,23,17,8,26,0,30,79,51,71,57,137
139,26,Belmont,1,1,75.01661803,1,231,120,111,61,110,60,200,0,0,24,0,0,6,1,68,32,12,12,7,1,4,12,10,2,0,0,0,0,0,341,18,0,10,0,0,0,0,0,0,14,16,50,0,40,9,184
21,30,Beverly,1,0,28.56798483,1,98,50,48,31,55,12,98,0,0,0,0,0,0,0,30,12,7,7,4,0,0,4,3,1,0,0,0,0,0,145,0,0,19,0,0,0,0,0,0,0,0,0,0,15,37,74
147,30,Beverly,1,1,28.56798483,1,654,310,344,121,419,114,630,1,0,8,0,0,6,9,183,80,49,37,15,2,0,90,72,15,2,1,0,0,0,1405,55,139,77,135,85,14,11,26,32,38,147,118,122,116,182,108
150,34,Bolton,1,1,100,0,169,84,85,51,101,17,159,0,0,0,0,0,4,6,51,26,5,12,6,2,0,9,6,3,0,0,0,0,0,967,10,27,24,6,21,6,15,16,16,18,79,70,70,31,183,375
1,35,Boston,1,0,0,0,1369,591,778,218,839,312,937,90,1,115,0,9,26,191,328,148,82,55,24,13,6,316,284,30,1,1,0,0,0,561,75,30,19,39,14,55,0,7,30,33,43,74,57,14,26,45
87,37,Boxborough,1,0,0,1,369,173,196,109,220,40,314,0,0,40,0,1,0,14,105,31,27,32,12,2,1,17,15,2,0,0,0,0,0,1026,19,26,0,38,9,0,0,19,20,37,99,133,83,98,187,258
